"ID";"Name";"StationCapacity";"BikeParkingSlotsAmount";"global_id";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Location";"ClarificationOfLocation";"DepartmentalAffiliation";"OperOrgName";"OperOrgWebsite";"Photo";"geodata_center";"geoarea";
"242";"Пункт проката велосипедов № 385";"12";"";"14937180";"37.495132";"55.643985";"Юго-Западный административный округ";"Обручевский район";"улица Островитянова, дом 7";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"98b6fb06-35e9-4261-b6c3-7ad68c5bd209";"0101000000FE99417C60BF4240AA0EB9196ED24B40";"";
"244";"Пункт проката велосипедов № 353";"12";"";"14937182";"37.608993";"55.671798";"Южный административный округ";"Нагорный район";"улица Криворожская, дом 33 Г";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"7be07537-9711-4cd8-90b7-27190d29679b";"0101000000183F8D7BF3CD424055C2137AFDD54B40";"";
"245";"Пункт проката велосипедов № 470";"12";"";"14937183";"37.623600";"55.821685";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королева, дом 8 А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"34151f2c-4b73-49c9-abfa-c0aebb722c4f";"01010000008FE4F21FD2CF4240904E5DF92CE94B40";"";
"246";"Пункт проката велосипедов № 471";"12";"";"14937184";"37.610488";"55.821743";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королева, дом 12 Б";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"f68b85df-1369-4923-8f3b-4e503d9cbdde";"0101000000DB4C857824CE4240C45BE7DF2EE94B40";"";
"247";"Пункт проката велосипедов № 472";"12";"";"14937185";"37.630187";"55.815486";"Северо-Восточный административный округ";"Останкинский район";"Звездный бульвар, дом 18/1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"04c8b28a-fa57-4213-b10a-b974f52a4995";"0101000000A3AEB5F7A9D04240452C62D861E84B40";"";
"248";"Пункт проката велосипедов № 417";"12";"";"14937186";"37.617156";"55.793457";"Северо-Восточный административный округ";"район Марьина Роща";"улица Шереметьевская, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"5c141985-4447-4aab-9bb5-6654e81fabf2";"0101000000DD43C2F7FECE424021E4BCFF8FE54B40";"";
"249";"Пункт проката велосипедов № 450";"12";"";"14937187";"37.637439";"55.833338";"Северо-Восточный административный округ";"район Ростокино";"улица Сергея Эйзенштейна, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"09aae1c9-50c7-4411-80a9-ed91a5d4b10b";"0101000000F418E59997D14240CC41D0D1AAEA4B40";"";
"250";"Пункт проката велосипедов № 446";"12";"";"14937188";"37.654231";"55.834408";"Северо-Восточный административный округ";"район Ростокино";"Проспект Мира, дом 163";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"7e8221dd-57b6-45df-b2b4-57c05fac31cb";"0101000000C38366D7BDD34240A9C29FE1CDEA4B40";"";
"251";"Пункт проката велосипедов № 444";"12";"";"14937189";"37.638457";"55.819404";"Северо-Восточный административный округ";"Останкинский район";"Проспект Мира, дом 111 А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"37853866-3779-4159-8a99-c9299d38493c";"01010000007E737FF5B8D14240151BF33AE2E84B40";"";
"252";"Пункт проката велосипедов № 464";"33";"";"14937190";"37.601039";"55.830195";"Северо-Восточный административный округ";"Останкинский район";"улица Ботаническая, дом 4, строение 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"f85c25f4-a5f2-4b33-9f47-f4368e4a2d90";"01010000006E4F90D8EECC4240C0266BD443EA4B40";"";
"253";"Пункт проката велосипедов № 480";"12";"";"14937191";"37.580688";"55.820725";"Северо-Восточный административный округ";"Бутырский район";"улица Яблочково, дом 18";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"a331d629-f234-4602-995d-97a4b98aae42";"0101000000FF9600FC53CA42403B014D840DE94B40";"";
"254";"Пункт проката велосипедов № 481";"12";"";"14937192";"37.5805768";"55.8278585";"Северо-Восточный административный округ";"Бутырский район";"ул. Милашенкова, д.12Д";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"f8e93e76-1a9e-41ed-a6c1-d8c018fcab1a";"01010000007E68305750CA4240999B6F44F7E94B40";"";
"258";"Пункт проката велосипедов № 469";"12";"";"14937196";"37.615739";"55.818916";"Северо-Восточный административный округ";"Останкинский район";"Академика Королёва ул., д.15, к.2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"a952880a-d51f-44f2-9e53-7dea431a9d23";"010100000095EF1989D0CE4240E8154F3DD2E84B40";"";
"259";"Пункт проката велосипедов № 482";"12";"";"14937197";"37.594597";"55.813304";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 13/12, корпус 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"f30115f5-695d-4d22-9a47-f46123d30dfb";"01010000005DA626C11BCC42405EDA70581AE84B40";"";
